GPS time of week(s), GPS week, latitude (deg), longitude (deg), height (m), Velocity North (m/s), Velocity East (m/s), Velocity Up (m/s), Ground Speed (km/hr), Clock Offset (m), Clock Drift (m/s), Northing (m), Easting (m), Up (m),STDEV latitude (m), STDEV longitude (m), STDEV height (m), STDEV Velocity North (m/s), STDEV Velocity East (m/s), STDEV Velocity Up (m/s), STDEV Clock Offset (m), STDEV Clock Drift (m/s), NR PSR Available, NR PSR Used, NR Doppler Available, NR Doppler Used, NR ADR Available, NR ADR Used,NDOP,EDOP,VDOP,HDOP,PDOP,TDOP,GDOP
73044.99998,1463,51.0943458705,-114.13795769072,1094.7728,-3.737807e-008,-7.46673e-009,7.600728e-008,1.372196e-007,53277.86652004,-0.24559855,10.865976,-13.152662,1.8157657,1.0382464,0.7840291,1.5577942,0.099999989,0.09999998,0.099999995,1.2200191,99.950102,10,9,0,0,10,9,1.2018007,0.85699159,1.7777128,1.4760622,2.3106325,1.3829641,2.6928818
73049.99999,1463,51.09434398838,-114.13795751176,1094.9155,-0.0009323801,-0.0002675733,-0.000577962,0.003492052,52049.37045951,-123.104834,10.656555,-13.140124,1.95851,0.86957844,0.64716082,1.2993207,0.099958581,0.099956863,0.099972735,1.0127651,99.949887,10,9,0,0,10,7,1.2026286,0.85766691,1.7774597,1.4771284,2.3111191,1.3829243,2.6932788
73055,1463,51.09434516595,-114.13795818451,1094.7876,-0.001998048,0.001663781,-0.001513639,0.009360249,50823.91446984,-122.889972,10.787581,-13.187261,1.8305658,0.76765608,0.56651371,1.1441613,0.099958189,0.099956592,0.099971273,0.89091264,99.949887,10,9,0,0,10,7,1.2034566,0.85834306,1.777207,1.4781951,2.3116066,1.382885,2.6936769
73060.00002,1463,51.09434689017,-114.1379591645,1094.5512,-8.618494e-005,-0.0001660102,0.0004765686,0.0006733754,49601.55079809,-122.580408,10.979434,-13.255926,1.5941377,0.6956051,0.51092155,1.0343109,0.099958159,0.099956574,0.099971119,0.80567442,99.949887,10,9,0,0,10,8,1.2042847,0.85902005,1.7769545,1.4792622,2.3120952,1.3828461,2.6940763
73064.99999,1463,51.09434691106,-114.13795932493,1094.5952,-0.0006108699,-0.000507612,0.0003071921,0.002859298,48382.41577401,-122.281128,10.981758,-13.267166,1.6382154,0.64049092,0.4693216,0.95206876,0.099958143,0.099956379,0.099967581,0.74135548,99.949887,10,9,0,0,10,8,1.2051126,0.85969788,1.7767023,1.4803299,2.3125846,1.3828076,2.6944766
73070,1463,51.09434774601,-114.13796130498,1094.526,-0.0007742065,-0.0004893888,0.0001422436,0.003297288,47166.42758505,-121.959541,11.074663,-13.405902,1.5689683,0.59619217,0.43654232,0.88646825,0.099958121,0.099956366,0.09996745,0.69008823,99.949887,10,9,0,0,10,8,1.2059405,0.86037654,1.7764504,1.4813981,2.3130751,1.3827693,2.6948779
73075.00002,1463,51.09434731253,-114.13796182903,1094.6047,-0.0001793704,-0.0002355025,-8.827991e-005,0.001065716,45953.41203376,-121.672954,11.02643,-13.442622,1.6476675,0.55934141,0.40977261,0.83231967,0.099958122,0.099956367,0.09996743,0.64776958,99.949887,10,9,0,0,10,8,1.2067683,0.86105597,1.7761986,1.4824665,2.3135662,1.3827316,2.6952803
73079.99999,1463,51.09434712015,-114.13796179748,1094.6895,-0.0002969331,-0.0004229017,0.0001142721,0.001860246,44742.91716137,-121.420958,11.005024,-13.440411,1.732511,0.52788703,0.38732274,0.7864661,0.099958126,0.099956369,0.099967416,0.61191797,99.949887,10,9,0,0,10,8,1.2075961,0.86173618,1.7759472,1.4835354,2.3140583,1.3826941,2.6956835
73085,1463,51.0943466436,-114.13796170542,1094.7113,0.0007153943,-0.001056969,-0.0003348499,0.004594723,43534.97644598,-121.162426,10.951999,-13.433961,1.7542306,0.50049447,0.36810473,0.74685502,0.099958131,0.099956372,0.099967402,0.58092591,99.949887,10,9,0,0,10,8,1.2084237,0.86241716,1.7756959,1.4846047,2.3145511,1.3826569,2.6960874
73090.00002,1463,51.09434644616,-114.13796150715,1094.6389,-0.001716512,0.001072976,0.0003076682,0.007287392,42329.5320712,-120.90251,10.93003,-13.420069,1.6818593,0.4762531,0.3513812,0.71208456,0.099958135,0.099956375,0.099967389,0.55369853,99.949887,10,9,0,0,10,8,1.2092514,0.86309898,1.7754449,1.4856746,2.3150449,1.3826202,2.6964924
